file,email,phone,match
Chris_Miller_resume.pdf,chris.miller178@example.com,,29.4
Grace_Clark_resume.pdf,grace.clark984@mail.com,,29.39
Chris_Brown_resume.pdf,chris.brown809@mail.com,,29.35
Olivia_Johnson_resume.pdf,olivia.johnson107@testmail.org,,29.28
Alice_Davis_resume.pdf,alice.davis698@example.com,,29.23
Daniel_Wilson_resume.pdf,daniel.wilson275@mail.com,,29.14
Sophia_Brown_resume.pdf,sophia.brown417@example.com,,29.11
Emma_Miller_resume.pdf,emma.miller25@example.com,,29.1
Michael_Davis_resume.pdf,michael.davis5@mail.com,,29.08
Michael_Moore_resume.pdf,michael.moore158@example.com,,29.04
Emma_Wilson_resume.pdf,emma.wilson790@mail.com,,29.0
David_White_resume.pdf,david.white839@mail.com,,28.88
Olivia_Moore_resume.pdf,olivia.moore258@example.com,,28.87
Michael_Lee_resume.pdf,michael.lee813@testmail.org,,28.8
John_Doe_resume.pdf,john.doe178@mail.com,,28.66
Michael_White_resume.pdf,michael.white346@example.com,,28.62
Bob_White_resume.pdf,bob.white458@example.com,,28.45
Alice_Harris_resume.pdf,alice.harris773@testmail.org,,28.41
Grace_Wilson_resume.pdf,grace.wilson357@testmail.org,,28.39
Grace_White_resume.pdf,grace.white709@mail.com,,28.37
David_Moore_resume.pdf,david.moore341@testmail.org,,28.18
John_Lee_resume.pdf,john.lee175@testmail.org,,28.09
David_Wilson_resume.pdf,david.wilson191@testmail.org,,28.05
Emma_Smith_resume.pdf,emma.smith757@example.com,,27.91
Grace_Lee_resume.pdf,grace.lee747@mail.com,,27.9
Isla_Brown_resume.pdf,isla.brown861@example.com,,27.88
Liam_Brown_resume.pdf,liam.brown159@testmail.org,,27.86
Michael_Miller_resume.pdf,michael.miller913@example.com,,27.86
Alice_Miller_resume.pdf,alice.miller11@example.com,,27.7
Grace_Harris_resume.pdf,grace.harris387@testmail.org,,27.58
Chris_Harris_resume.pdf,chris.harris459@testmail.org,,27.56
Chris_Taylor_resume.pdf,chris.taylor156@example.com,,27.46
Isla_Miller_resume.pdf,isla.miller732@example.com,,27.26
Daniel_Edwards_resume.pdf,daniel.edwards540@testmail.org,,27.2
Isla_Doe_resume.pdf,isla.doe680@mail.com,,27.14
John_Brown_resume.pdf,john.brown896@testmail.org,,27.06
Grace_Smith_resume.pdf,grace.smith629@mail.com,,27.04
Liam_Davis_resume.pdf,liam.davis941@example.com,,27.02
Bob_Miller_resume.pdf,bob.miller197@mail.com,,26.98
Daniel_White_resume.pdf,daniel.white727@mail.com,,26.81
Olivia_Harris_resume.pdf,olivia.harris356@mail.com,,26.79
Chris_White_resume.pdf,chris.white761@example.com,,26.72
James_Doe_resume.pdf,james.doe664@example.com,,26.63
Chris_Edwards_resume.pdf,chris.edwards379@example.com,,26.58
John_Edwards_resume.pdf,john.edwards929@testmail.org,,26.56
Isla_Smith_resume.pdf,isla.smith737@mail.com,,26.5
Chris_Clark_resume.pdf,chris.clark82@mail.com,,26.32
Chris_Lee_resume.pdf,chris.lee482@example.com,,26.28
Daniel_Johnson_resume.pdf,daniel.johnson515@example.com,,26.27
Daniel_Moore_resume.pdf,daniel.moore19@testmail.org,,26.26
David_Brown_resume.pdf,david.brown92@testmail.org,,26.26
Bob_Harris_resume.pdf,bob.harris303@example.com,,26.11
Sophia_Miller_resume.pdf,sophia.miller728@testmail.org,,26.01
Chris_Smith_resume.pdf,chris.smith149@mail.com,,26.0
John_Wilson_resume.pdf,john.wilson209@mail.com,,25.99
James_Wilson_resume.pdf,james.wilson598@example.com,,25.91
Liam_Harris_resume.pdf,liam.harris648@example.com,,25.72
Bob_Wilson_resume.pdf,bob.wilson955@testmail.org,,25.65
Sophia_Lee_resume.pdf,sophia.lee595@example.com,,25.31
Liam_Wilson_resume.pdf,liam.wilson487@example.com,,24.65
Isla_Johnson_resume.pdf,isla.johnson484@mail.com,,24.6
Olivia_Lee_resume.pdf,olivia.lee899@testmail.org,,24.55
John_Smith_resume.pdf,john.smith431@example.com,,24.51
Emma_Lee_resume.pdf,emma.lee377@testmail.org,,24.39
Bob_Moore_resume.pdf,bob.moore923@example.com,,24.34
Emma_Harris_resume.pdf,emma.harris978@testmail.org,,24.25
Emma_Edwards_resume.pdf,emma.edwards498@example.com,,24.12
Michael_Harris_resume.pdf,michael.harris98@example.com,,24.01
Liam_Clark_resume.pdf,liam.clark825@mail.com,,24.0
Michael_Wilson_resume.pdf,michael.wilson947@example.com,,23.54
John_White_resume.pdf,john.white840@example.com,,23.29
Chris_Davis_resume.pdf,chris.davis847@mail.com,,22.96
James_Edwards_resume.pdf,james.edwards105@example.com,,22.72
Liam_Smith_resume.pdf,liam.smith113@mail.com,,22.49
John_Miller_resume.pdf,john.miller17@testmail.org,,22.03
James_Johnson_resume.pdf,james.johnson413@testmail.org,,21.75
John_Johnson_resume.pdf,john.johnson570@example.com,,21.41
Bob_Edwards_resume.pdf,bob.edwards182@example.com,,21.38
